,author,0,1,2,3,4,5,6,7,8,9,10,11,12,13
train,dean-c,4.857103667038187,1.4591816068914891,0.010841927486105506,1.10507873765917,1.9153171920882044,1.1543731183142918,-1.3335680019871865,1.7194132087563334,0.24789276962500312,-2.01375862320475,-1.31003138937012,1.2910117688874336,-0.6255859849227213,-1.1666931621987924
train,dean-c,6.921984623610217,-2.821840731261651,-1.1040660791690016,-1.624999997028657,1.54551407309229,0.3074644530533939,1.2207288816961395,2.8605289031217134,-0.3838078535513376,-0.6161611827081417,-0.8356053770689617,0.8652686409940613,-1.5141821195780003,1.157356910838808
train,dean-c,12.019059754074988,-2.472675279613689,-0.04915710964472848,-0.017315549718434867,0.13458405678996985,2.1826770805775975,1.0108595144218095,0.6236414033715139,-0.7001314052356576,-2.2755919383986725,-1.898326362982504,-0.4163742792513031,1.3356360163526635,2.242426736573603
train,dean-c,1.4150579109150332,-0.07081917563668187,0.12896318383597763,-0.07911810925269104,1.1072726993880575,0.7511878837425193,0.06084454486740983,0.41233699118772743,0.3270872408971597,-1.0172457450336618,0.10717970713718611,0.6206261294380292,-0.9917052412647536,-0.01567532072430605
train,dean-c,27.862123083364377,18.753833262816656,8.37074560900896,26.41480031142422,3.5474244265449317,-3.6265737566503757,0.40598455048555987,3.3315327888418262,-0.7899795032473206,0.8549400193119819,0.648854750307901,-0.26948878265895554,-0.5388877549119889,0.6419450546571136
train,dean-c,2.849418325375155,1.2089294900635126,1.0309700493437102,0.30040753923920965,1.2911074733136692,1.757186932396149,-0.6987070877955448,1.3747281187861178,1.0687304490361198,-1.5652598177650887,-1.265225807783986,0.581819121344283,-0.9667121953993986,-1.4105809920011274
train,dean-c,5.861867160152993,-0.4434043311154706,-0.0875384053385584,-0.21070175151472478,2.156173150237003,2.532587405303932,-0.8531012797970307,1.4868354347787818,0.9218749897880354,-2.499725077331031,0.42883410091136637,0.14653657644869458,-2.688694484736231,-0.83452230877355
train,dean-c,12.605964959335173,3.198023101632043,2.3963932631141374,-0.7381922148878908,11.033026840353953,-1.5922680491358239,-5.174471538256261,-7.804134983035557,9.658601166581958,3.9190912154851807,0.40180107353945577,-1.3938715132806898,-3.678413021203837,1.270212902584663
train,dean-c,59.64182670263715,42.04318790798853,-4.025296987406657,-12.318718749132985,-5.534913799950508,-1.1321899556412574,-0.9805531624778516,0.1777325861427159,-0.49663766276514215,-0.822607998753443,0.1485413573480142,-1.0510951717165413,0.3499309492525744,0.25342682178051107
train,dean-c,15.906621558822073,0.33808235085781735,5.789661717839527,1.7944361723253728,2.207493331951719,3.0707044589705683,4.4811086190333915,-5.396869853593035,1.1872572221064694,-5.328526573923223,9.479962253383393,-1.624258904952695,5.452251880530537,-1.5143478311881078
